pair_id,donation_id,request_id,y,food_type,req_qty_value,req_qty_unit,off_qty_text,req_qty_g,off_qty_g,qty_ratio,distance_km,expiry_gap_days,donation_fresh_days_left,req_need_days_from_now,created_at
13f179c8_99eefde7,99eefde7,13f179c8,1,Frozen / Chilled,15.0,kg,10.8 kg,15000.0,10800.0,0.72,20.104,-3,-1,2,2025-09-23T05:30:22.420608
ac66923a_35c5eb90,35c5eb90,ac66923a,0,Beverage,17.5,kg,2152 grams,17500.0,2152.0,0.12297142857142856,17.31,-8,-1,7,2025-09-26T11:15:21.686140
bca8475f_39da937f,39da937f,bca8475f,1,Packaged / Canned,6.2,kg,6.1 kg,6200.0,6100.0,0.9838709677419355,19.375,-6,0,6,2025-09-27T01:38:02.134196
5a0c52dd_546d03ec,546d03ec,5a0c52dd,1,Fresh Produce,14.2,kg,9.8 kg,14200.0,9800.0,0.6901408450704225,14.478,,6,6,2025-09-24T16:12:10.475955
04c148d8_fdaf03d2,fdaf03d2,04c148d8,1,Bakery,1.8,kg,22.9 kg,1800.0,22900.0,10.0,31.626,-7,2,9,2025-09-26T22:13:01.739739
19fcca32_55162631,55162631,19fcca32,1,Fresh Produce,725.0,grams,2648 grams,725.0,2648.0,3.6524137931034484,16.366,-5,-1,4,2025-09-27T08:15:39.843641
bf00c008_1e8c88cf,1e8c88cf,bf00c008,0,Bakery,1492.0,grams,12.8 kg,1492.0,12800.0,8.579088471849866,18.743,-2,0,2,2025-09-23T08:37:36.994903
2408526f_2323f722,2323f722,2408526f,1,Beverage,3705.0,grams,5023 grams,3705.0,5023.0,1.3557354925775977,24.32,-9,0,9,2025-09-27T15:08:40.673309
f30aa12e_d1bad0d1,d1bad0d1,f30aa12e,1,Fresh Produce,9.8,kg,4580 grams,9800.0,4580.0,0.4673469387755102,33.929,-1,4,5,2025-09-25T10:51:04.447350
cb32cd3c_c64366b2,c64366b2,cb32cd3c,1,Cooked Meals,12.0,kg,1.3 kg,12000.0,1300.0,0.10833333333333334,18.686,-2,0,2,2025-09-23T23:54:47.205026
0d9de56f_a037eb37,a037eb37,0d9de56f,1,Packaged / Canned,2.4,kg,16.3 kg,2400.0,16300.0,6.791666666666667,32.736,-5,-1,4,2025-09-23T07:27:13.199830
a0a2d2df_5bdf0806,5bdf0806,a0a2d2df,1,Packaged / Canned,18.5,kg,5820 grams,18500.0,5820.0,0.3145945945945946,43.275,2,6,4,2025-09-28T01:26:22.451886
74733978_ecb64e81,ecb64e81,74733978,1,Packaged / Canned,15.8,kg,12.4 kg,15800.0,12400.0,0.7848101265822784,9.773,-4,0,4,2025-09-21T10:42:26.630978
3db98298_52a30446,52a30446,3db98298,1,Beverage,19.2,kg,23.6 kg,19200.0,23600.0,1.2291666666666667,29.436,3,3,0,2025-09-23T16:30:09.721163
6975e626_91f49ed8,91f49ed8,6975e626,1,Frozen / Chilled,5.2,kg,15.7 kg,5200.0,15700.0,3.019230769230769,21.42,,3,3,2025-09-26T04:49:14.305278
3734814e_8792d6bd,8792d6bd,3734814e,1,Bakery,16.8,kg,14.1 kg,16800.0,14100.0,0.8392857142857143,14.29,-1,6,7,2025-09-23T20:04:13.396632
5a65f6ea_fa94bc4e,fa94bc4e,5a65f6ea,1,Fresh Produce,4.5,kg,10.9 kg,4500.0,10900.0,2.422222222222222,13.251,-6,0,6,2025-09-22T01:50:30.763778
c72b228d_2ee8a47b,2ee8a47b,c72b228d,0,Cooked Meals,18.9,kg,3.6 kg,18900.0,3600.0,0.19047619047619047,25.063,-6,0,6,2025-09-25T19:54:36.446150
62e87f7f_bd70af81,bd70af81,62e87f7f,0,Beverage,1744.0,grams,343 grams,1744.0,343.0,0.1966743119266055,4.589,-2,4,6,2025-09-22T08:41:04.748509
2ecdfdea_c07528e6,c07528e6,2ecdfdea,0,Cooked Meals,1.3,kg,16.7 kg,1300.0,16700.0,10.0,11.291,-3,1,4,2025-09-25T23:11:44.858478
c5124148_e12da9cd,e12da9cd,c5124148,0,Bakery,638.0,grams,9.0 kg,638.0,9000.0,10.0,6.228,-4,5,9,2025-09-26T13:20:24.217529
e3ed7424_33fef277,33fef277,e3ed7424,1,Frozen / Chilled,15.0,kg,16.8 kg,15000.0,16800.0,1.12,38.156,-6,0,6,2025-09-23T18:20:47.321749
e56f916f_05e79e10,05e79e10,e56f916f,0,Frozen / Chilled,2773.0,grams,5.6 kg,2773.0,5600.0,2.019473494410386,2.622,-4,5,9,2025-09-24T13:53:05.847079
72c09f60_699914f0,699914f0,72c09f60,0,Frozen / Chilled,2.2,kg,6.0 kg,2200.0,6000.0,2.727272727272727,16.757,-5,0,5,2025-09-22T16:26:35.762231
14ffe857_4bf493b0,4bf493b0,14ffe857,0,Fresh Produce,8.0,kg,1469 grams,8000.0,1469.0,0.183625,21.48,2,5,3,2025-09-22T03:58:17.610690
6ddeae94_1f2b0ce8,1f2b0ce8,6ddeae94,0,Beverage,2462.0,grams,22.7 kg,2462.0,22700.0,9.220146222583265,25.603,-7,2,9,2025-09-23T09:06:01.381803
e9fb0a7c_32e21104,32e21104,e9fb0a7c,1,Packaged / Canned,5.9,kg,4.2 kg,5900.0,4200.0,0.711864406779661,5.478,1,1,0,2025-09-26T04:13:37.926603
33b1cc42_85653b25,85653b25,33b1cc42,0,Packaged / Canned,2419.0,grams,1931 grams,2419.0,1931.0,0.7982637453493179,10.245,-5,1,6,2025-09-25T18:02:03.827288
f60d3978_3ffd771b,3ffd771b,f60d3978,1,Packaged / Canned,13.7,kg,22.7 kg,13700.0,22700.0,1.6569343065693432,28.773,-1,3,4,2025-09-27T12:29:48.981787
794a1f41_9d1b978c,9d1b978c,794a1f41,0,Packaged / Canned,15.3,kg,18.9 kg,15300.0,18900.0,1.2352941176470589,43.542,-4,-1,3,2025-09-26T15:33:24.451161
