pair_id,donation_id,request_id,y,food_type,req_qty_value,req_qty_unit,off_qty_text,req_qty_g,off_qty_g,qty_ratio,qty_bucket,unit_compatible,distance_km,expiry_gap_days,donation_fresh_days_left,req_need_days_from_now,window_overlap_min,has_coords,created_at
6c29b257_ca0b9a50,ca0b9a50,6c29b257,1,Frozen / Chilled,15.0,kg,10.8 kg,15000.0,10800.0,0.72,small,1,20.104,-3,-1,2,75,1,2025-09-29T06:13:31.799183+00:00
163b2bf5_4a7ea51e,4a7ea51e,163b2bf5,1,Bakery,224.0,grams,9.8 kg,224.0,9800.0,10.0,too_large,1,10.353,-7,1,8,113,1,2025-10-03T08:32:13.649672+00:00
b38c22fb_324b3334,324b3334,b38c22fb,1,Bakery,14.2,kg,2404 grams,14200.0,2404.0,0.16929577464788734,too_small,1,16.84,2,2,0,81,1,2025-10-03T21:15:09.463515+00:00
70c20336_c54ee71d,c54ee71d,70c20336,1,Fresh Produce,5.3,kg,21.1 kg,5300.0,21100.0,3.981132075471698,too_large,1,8.28,0,4,4,50,1,2025-09-29T15:02:47.298698+00:00
436557d6_1e51c54f,1e51c54f,436557d6,1,Frozen / Chilled,5.7,kg,5.9 kg,5700.0,5900.0,1.0350877192982457,balanced,1,18.848,4,6,2,8,1,2025-09-30T08:26:50.044271+00:00
66a0e3dd_f07bd0c2,f07bd0c2,66a0e3dd,1,Packaged / Canned,19.9,kg,22.2 kg,19900.0,22200.0,1.1155778894472361,balanced,1,46.537,-1,4,5,80,1,2025-10-04T08:43:43.929087+00:00
53bb4a92_8a015a67,8a015a67,53bb4a92,1,Bakery,2129.0,grams,3673 grams,2129.0,3673.0,1.7252231094410522,balanced,1,15.086,1,2,1,10,1,2025-09-27T18:28:11.003777+00:00
1363d983_d8b40380,d8b40380,1363d983,0,Cooked Meals,16.4,kg,13.4 kg,16400.0,13400.0,0.8170731707317073,balanced,1,25.379,-6,3,9,47,1,2025-09-29T19:49:10.353560+00:00
54501ece_6a049a6b,6a049a6b,54501ece,1,Packaged / Canned,1915.0,grams,2.2 kg,1915.0,2200.0,1.1488250652741514,balanced,1,8.379,1,3,2,16,1,2025-09-30T13:35:55.914396+00:00
53a16bc3_ee0d47a5,ee0d47a5,53a16bc3,0,Frozen / Chilled,2369.0,grams,9.2 kg,2369.0,9200.0,3.883495145631068,too_large,1,31.814,-3,1,4,68,1,2025-10-03T02:40:07.734952+00:00
95edbfb7_f562ab61,f562ab61,95edbfb7,1,Packaged / Canned,4.1,kg,16.5 kg,4100.0,16500.0,4.024390243902439,too_large,1,20.399,-2,2,4,115,1,2025-09-28T18:54:35.797544+00:00
34399030_a739f464,a739f464,34399030,0,Cooked Meals,0.5,kg,5973 grams,500.0,5973.0,10.0,too_large,1,41.599,0,3,3,7,1,2025-10-02T10:44:08.918492+00:00
8575ea91_7050f504,7050f504,8575ea91,1,Cooked Meals,10.3,kg,2.2 kg,10300.0,2200.0,0.21359223300970873,too_small,1,6.166,-3,5,8,33,1,2025-10-03T21:11:56.237981+00:00
